,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Sku_id,Update_time,rate,Munit,Forecast_box,SS,Inventory,Suggestion_qty,Sales_box,Date_timestamp
56,10490,上海,007,007,上海,A级-欢乐柠檬(个),2020-07-08,10490,2020-07-07,10.0,个,36.0,5.0,83.0,0.0,31.0,2020-07-08 09:36:27
57,65450,上海,007,007,上海,A级-国产蓝莓(中),2020-07-08,65450,2020-07-07,12.0,盒,154.0,28.911194075256436,52.0,131.0,140.0,2020-07-08 09:36:27
58,12630,上海,007,007,上海,A级-人参果,2020-07-08,12630,2020-07-07,13.0,斤,11.0,5.0,9.0,7.0,8.0,2020-07-08 09:36:27
59,40035,上海,007,007,上海,香辣金针菇160g,2020-07-08,40035,2020-07-07,12.0,包,6.0,5.0,12.0,0.0,6.0,2020-07-08 09:36:27
60,06410,上海,007,007,上海,A级-澳柑(中),2020-07-08,06410,2020-07-07,18.0,斤,6.0,5.0,0.0,11.0,5.0,2020-07-08 09:36:27
61,05150,上海,007,007,上海,A级-绿宝石香瓜,2020-07-08,05150,2020-07-07,16.0,斤,4.0,3.0,0.0,7.0,3.0,2020-07-08 09:36:27
62,40043,上海,007,007,上海,橙汁,2020-07-08,40043,2020-07-07,8.0,瓶,9.0,5.0,54.0,0.0,2.0,2020-07-08 09:36:27
63,07050,上海,007,007,上海,A级-佳沛金果巨无霸,2020-07-09,07050,2020-07-07,18.0,只,12.0,5.0,184.0,0.0,12.0,2020-07-08 09:36:27
64,11140,上海,007,007,上海,B级-漫山红冬枣(中),2020-07-10,11140,2020-07-07,4.0,斤,28.0,5.0,0.0,0.0,0.0,2020-07-08 09:36:27
65,11600,上海,007,007,上海,A级-满山红富士(大),2020-07-08,11600,2020-07-07,26.0,斤,36.0,5.0,121.0,0.0,33.0,2020-07-08 09:36:27
66,43410,上海,007,007,上海,那么大西梅,2020-07-08,43410,2020-07-07,12.0,罐,1.0,1.0,6.0,0.0,0.0,2020-07-08 09:36:27
67,16010,上海,007,007,上海,A级-春蕉,2020-07-08,16010,2020-07-07,16.0,斤,610.0,45.823307499612916,0.0,656.0,500.0,2020-07-08 09:36:27
68,01070,上海,007,007,上海,A级-夏黑葡萄,2020-07-08,01070,2020-07-07,21.0,斤,227.0,5.377580064205346,0.0,232.0,228.0,2020-07-08 09:36:27
69,40135,上海,007,007,上海,认养一头牛纯奶,2020-07-08,40135,2020-07-07,12.0,包,15.0,5.0,1557.0,0.0,15.0,2020-07-08 09:36:27
70,11050,上海,007,007,上海,A级-国产黑布林(中),2020-07-08,11050,2020-07-07,14.0,斤,21.0,5.0,6.0,20.0,20.0,2020-07-08 09:36:27
71,04170,上海,007,007,上海,经典-树顶红富士(大),2020-07-08,04170,2020-07-07,27.0,斤,22.0,5.0,223.0,0.0,22.0,2020-07-08 09:36:27
72,40084,上海,007,007,上海,新椰汁,2020-07-08,40084,2020-07-07,12.0,瓶,63.0,5.0,2622.0,0.0,60.0,2020-07-08 09:36:27
73,11120,上海,007,007,上海,A级-冰糖冬枣(大),2020-07-10,11120,2020-07-07,3.8,斤,792.0,46.19126165262456,493.0,345.0,750.0,2020-07-08 09:36:27
74,14880,上海,007,007,上海,B级-金火龙(大),2020-07-08,14880,2020-07-07,12.5,斤,81.0,5.0,0.0,86.0,24.0,2020-07-08 09:36:27
75,13050,上海,007,007,上海,A级-落地碎香梨,2020-07-08,13050,2020-07-07,10.0,斤,22.0,5.0,14.0,13.0,21.0,2020-07-08 09:36:27
76,40042,上海,007,007,上海,奇异果苹果复合果汁饮品,2020-07-08,40042,2020-07-07,8.0,瓶,13.0,5.0,58.0,0.0,3.0,2020-07-08 09:36:27
77,04300,上海,007,007,上海,A级-国产红蛇果(大),2020-07-08,04300,2020-07-07,17.0,斤,5.0,5.0,2.0,8.0,5.0,2020-07-08 09:36:27
