,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Sku_id,Update_time,rate,Munit,Forecast_box,SS,Inventory,Suggestion_qty,Sales_box,Date_timestamp
0,13570,合肥,006,006,合肥,经典-瑞姬娜车厘子(XL),2020-07-07,13570,2020-07-06,10.0,斤,156,5.0,332,0,49,2020-07-06 22:32:52
1,40387,合肥,006,006,合肥,袋装椰汁5包装,2020-07-07,40387,2020-07-06,6.0,袋,27,5.0,101,0,17,2020-07-06 22:32:52
2,13050,合肥,006,006,合肥,A级-落地碎香梨,2020-07-07,13050,2020-07-06,10.5,斤,8,5.0,56,0,6,2020-07-06 22:32:52
3,13050,合肥,006,006,合肥,A级-落地碎香梨,2020-07-07,13050,2020-07-06,10.5,斤,8,5.0,56,0,6,2020-07-06 22:32:52
4,40037,合肥,006,006,合肥,香辣海带片218g,2020-07-07,40037,2020-07-06,12.0,包,2,2.0,154,0,0,2020-07-06 22:32:52
5,40042,合肥,006,006,合肥,奇异果苹果复合果汁饮品,2020-07-07,40042,2020-07-06,8.0,瓶,11,5.0,64,0,10,2020-07-06 22:32:52
6,02070,合肥,006,006,合肥,经典-奉化水蜜桃(中),2020-07-07,02070,2020-07-06,21.0,斤,18,0.0,184,0,18,2020-07-06 22:32:52
7,40084,合肥,006,006,合肥,新椰汁,2020-07-07,40084,2020-07-06,12.0,瓶,168,14.705961584420415,4352,0,109,2020-07-06 22:32:52
8,12430,合肥,006,006,合肥,A级-美国西梅,2020-07-07,12430,2020-07-06,25.0,斤,10,0.0,31,0,10,2020-07-06 22:32:52
9,06320,合肥,006,006,合肥,A级-台湾爱文芒,2020-07-07,06320,2020-07-06,10.0,斤,10,5.0,14,1,3,2020-07-06 22:32:52
10,65450,合肥,006,006,合肥,A级-国产蓝莓(中),2020-07-07,65450,2020-07-06,12.0,盒,263,35.59437011204819,230,69,252,2020-07-06 22:32:52
11,01070,合肥,006,006,合肥,A级-夏黑葡萄,2020-07-07,01070,2020-07-06,8.0,斤,179,17.067094488685363,22,174,178,2020-07-06 22:32:52
12,05150,合肥,006,006,合肥,A级-绿宝石香瓜,2020-07-07,05150,2020-07-06,4.5,斤,12,5.0,35,0,4,2020-07-06 22:32:52
