,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Sku_id,Update_time,rate,Munit,Forecast_box,SS,Inventory,Suggestion_qty,Sales_box,Date_timestamp
0,07350,合肥,006,006,合肥,A级-泰国椰青(大),2020-05-18,07350,2020-05-17,9.0,只,147,14.035668847618199,0,200.0,60,2020-05-18 14:02:26
1,16010,合肥,006,006,合肥,A级-春蕉,2020-05-20,16010,2020-05-17,16.5,斤,1608,34.72486611249368,0,2000.0,700,2020-05-18 14:02:26
2,15130,合肥,006,006,合肥,A级-佳沛阳光金果(大),2020-05-18,15130,2020-05-17,52.0,个,13,10.0,52,0.0,3,2020-05-18 14:02:26
3,01070,合肥,006,006,合肥,A级-夏黑葡萄,2020-05-20,01070,2020-05-17,5.5,斤,97,20.94394635423059,49,70.0,45,2020-05-18 14:02:26
4,07470,合肥,006,006,合肥,A级-台湾凤梨(大),2020-05-18,07470,2020-05-17,20.0,斤,1175,68.68457926326279,837,400.0,208,2020-05-18 14:02:26
5,05170,合肥,006,006,合肥,B级-东方蜜甜瓜,2020-05-18,05170,2020-05-17,8.0,斤,111,37.358087031681194,81,70.0,72,2020-05-18 14:02:26
6,15120,合肥,006,006,合肥,A级-佳沛特大金果王(大),2020-05-18,15120,2020-05-17,41.0,个,11,10.0,7,10.0,11,2020-05-18 14:02:26
7,65450,合肥,006,006,合肥,A级-国产蓝莓(中),2020-05-20,65450,2020-05-17,12.0,盒,159,22.105960042209322,264,0.0,104,2020-05-18 14:02:26
8,14190,合肥,006,006,合肥,A级-青玉香芒(大),2020-05-20,14190,2020-05-17,10.0,斤,48,10.0,17,40.0,26,2020-05-18 14:02:26
9,06320,合肥,006,006,合肥,A级-台湾爱文芒,2020-05-18,06320,2020-05-17,10.0,斤,10,10.0,98,0.0,16,2020-05-18 14:02:26
10,13410,合肥,006,006,合肥,A级-羊角蜜,2020-05-19,13410,2020-05-17,6.0,斤,12,10.0,7,20.0,12,2020-05-18 14:02:26
11,04170,合肥,006,006,合肥,经典-树顶红富士(大),2020-05-19,04170,2020-05-17,18.0,斤,86,10.0,171,0.0,43,2020-05-18 14:02:26
12,16040,合肥,006,006,合肥,A级-进口蕉,2020-05-18,16040,2020-05-17,27.0,斤,206,10.0,90,100.0,60,2020-05-18 14:02:26
13,65210,合肥,006,006,合肥,A级-先锋樱桃(中),2020-05-19,65210,2020-05-17,9.0,斤,81,71.31526250857293,0,200.0,79,2020-05-18 14:02:26
14,11850,合肥,006,006,合肥,A级-水果胡萝卜(76g),2020-05-19,11850,2020-05-17,18.0,袋,1,10.0,3,8.0,1,2020-05-18 14:02:26
15,14170,合肥,006,006,合肥,B级-小台芒,2020-05-18,14170,2020-05-17,18.0,斤,217,46.622233462814975,131,100.0,179,2020-05-18 14:02:26
16,07300,合肥,006,006,合肥,A级-蜜宝火龙果(中),2020-05-18,07300,2020-05-17,9.0,斤,95,10.0,134,0.0,20,2020-05-18 14:02:26
17,67250,合肥,006,006,合肥,A级-泰国白蜜柚,2020-05-18,67250,2020-05-17,18.0,斤,7,10.0,291,0.0,7,2020-05-18 14:02:26
18,40480,合肥,006,006,合肥,进口活性草莓味乳酸菌饮品,2020-05-18,40480,2020-05-17,10.0,条,17,10.0,-9,40.0,9,2020-05-18 14:02:26
19,07570,合肥,006,006,合肥,菲诺椰子冻,2020-05-18,07570,2020-05-17,6.0,只,19,10.0,25,0.0,15,2020-05-18 14:02:26
20,40035,合肥,006,006,合肥,香辣金针菇160g,2020-05-18,40035,2020-05-17,12.0,包,6,10.0,61,0.0,0,2020-05-18 14:02:26
21,05150,合肥,006,006,合肥,A级-绿宝石香瓜,2020-05-18,05150,2020-05-17,4.5,斤,18,10.0,17,10.0,7,2020-05-18 14:02:26
22,06130,合肥,006,006,合肥,A级-澳洲无籽红提,2020-05-18,06130,2020-05-17,18.0,斤,156,24.81605800069539,52,100.0,98,2020-05-18 14:02:26
23,06170,合肥,006,006,合肥,A级-智利红提,2020-05-18,06170,2020-05-17,16.4,斤,18,15.0,33,0.0,17,2020-05-18 14:02:26
24,07420,合肥,006,006,合肥,B级-泰国山竹(小),2020-05-18,07420,2020-05-17,15.0,斤,49,11.715156762040518,96,0.0,4,2020-05-18 14:02:26
25,01030,合肥,006,006,合肥,A级-澳洲美人指黑提,2020-05-18,01030,2020-05-17,9.0,斤,4,10.0,7,7.0,1,2020-05-18 14:02:26
26,40114,合肥,006,006,合肥,油真多海鸭蛋4粒装,2020-05-18,40114,2020-05-17,18.0,盒,0,10.0,2,10.0,0,2020-05-18 14:02:26
27,05000,合肥,006,006,合肥,甜心笑麒麟瓜,2020-05-18,05000,2020-05-17,30.0,斤,1281,10.0,1582,0.0,1281,2020-05-18 14:02:26
28,06000,合肥,006,006,合肥,A级-进口红玫瑰苹果(中),2020-05-18,06000,2020-05-17,4.5,斤,14,10.0,12,10.0,6,2020-05-18 14:02:26
29,40043,合肥,006,006,合肥,橙汁,2020-05-18,40043,2020-05-17,8.0,瓶,17,10.0,31,0.0,19,2020-05-18 14:02:26
30,07220,合肥,006,006,合肥,A级-台湾释迦(大),2020-05-18,07220,2020-05-17,6.0,斤,11,10.0,11,10.0,8,2020-05-18 14:02:26
31,07270,合肥,006,006,合肥,A级-台湾莲雾(中),2020-05-18,07270,2020-05-17,6.0,斤,2,10.0,9,0.0,0,2020-05-18 14:02:26
32,40036,合肥,006,006,合肥,香辣海带结192g,2020-05-18,40036,2020-05-17,12.0,包,14,10.0,53,0.0,3,2020-05-18 14:02:26
33,10490,合肥,006,006,合肥,A级-欢乐柠檬(个),2020-05-20,10490,2020-05-17,10.0,个,53,10.0,27,40.0,22,2020-05-18 14:02:26
34,06850,合肥,006,006,合肥,A级-百香果(盒),2020-05-20,06850,2020-05-17,6.0,盒,28,10.0,10,30.0,30,2020-05-18 14:02:26
35,40039,合肥,006,006,合肥,黄桃汁,2020-05-18,40039,2020-05-17,8.0,瓶,11,10.0,2,20.0,14,2020-05-18 14:02:26
36,05200,合肥,006,006,合肥,A级-沙洲绿宝瓜(中),2020-05-20,05200,2020-05-17,12.0,斤,2837,439.0990776578789,1599,2000.0,212,2020-05-18 14:02:26
37,07880,合肥,006,006,合肥,经典-青馋狸榴莲,2020-05-18,07880,2020-05-17,31.0,斤,251,251.0,313,200.0,27,2020-05-18 14:02:26
38,67207,合肥,006,006,合肥,芒果吃光光,2020-05-18,67207,2020-05-17,12.0,盒,12,10.0,31,0.0,8,2020-05-18 14:02:26
39,67206,合肥,006,006,合肥,山楂吃光光,2020-05-18,67206,2020-05-17,16.0,盒,3,10.0,123,0.0,1,2020-05-18 14:02:26
40,06790,合肥,006,006,合肥,A级-网纹瓜,2020-05-20,06790,2020-05-17,5.9,斤,87,16.889194710204027,189,0.0,28,2020-05-18 14:02:26
41,15080,合肥,006,006,合肥,A级-火山口荔枝,2020-05-20,15080,2020-05-17,16.0,斤,666,145.23997001131917,63,700.0,537,2020-05-18 14:02:26
42,07070,合肥,006,006,合肥,A级-佳沛阳光金果,2020-05-18,07070,2020-05-17,33.0,只,54,10.0,117,0.0,2,2020-05-18 14:02:26
43,14930,合肥,006,006,合肥,A级-玲珑小番茄(盒),2020-05-19,14930,2020-05-17,8.0,盒,100,10.0,0,100.0,100,2020-05-18 14:02:26
44,07150,合肥,006,006,合肥,A级-茂谷柑(大),2020-05-20,07150,2020-05-17,20.0,斤,70,31.592966868522424,88,10.0,82,2020-05-18 14:02:26
45,40660,合肥,006,006,合肥,进口活性蓝莓味乳酸菌饮品,2020-05-18,40660,2020-05-17,10.0,盒,10,10.0,32,0.0,11,2020-05-18 14:02:26
46,08340,合肥,006,006,合肥,精品冷冻榴莲肉(有核),2020-05-18,08340,2020-05-17,20.0,盒,3,10.0,97,0.0,3,2020-05-18 14:02:26
47,14940,合肥,006,006,合肥,A级-进口黑布林(中),2020-05-18,14940,2020-05-17,18.0,斤,30,10.0,0,40.0,30,2020-05-18 14:02:26
48,15300,合肥,006,006,合肥,A级-澳洲秋天脆青提,2020-05-18,15300,2020-05-17,9.0,斤,10,10.0,0,20.0,0,2020-05-18 14:02:26
49,04300,合肥,006,006,合肥,A级-国产红蛇果(大),2020-05-19,04300,2020-05-17,9.0,斤,19,10.0,0,30.0,18,2020-05-18 14:02:26
50,14900,合肥,006,006,合肥,珍贵-泰国红宝石蜜柚,2020-05-18,14900,2020-05-17,2.0,个,1,10.0,17,0.0,1,2020-05-18 14:02:26
51,13050,合肥,006,006,合肥,A级-落地碎香梨,2020-05-22,13050,2020-05-17,10.5,斤,9,10.0,224,0.0,3,2020-05-18 14:02:26
52,40042,合肥,006,006,合肥,奇异果苹果复合果汁饮品,2020-05-18,40042,2020-05-17,8.0,瓶,27,10.0,82,0.0,18,2020-05-18 14:02:26
53,05960,合肥,006,006,合肥,A级-鲜丰王炸,2020-05-18,05960,2020-05-17,17.0,斤,155,32.6965017163885,193,0.0,36,2020-05-18 14:02:26
54,13000,合肥,006,006,合肥,A级-皇冠蜜梨(中),2020-05-18,13000,2020-05-17,25.0,斤,51,10.0,344,0.0,33,2020-05-18 14:02:26
55,11580,合肥,006,006,合肥,A级-满山红富士(小),2020-05-18,11580,2020-05-17,24.0,斤,213,213.0,3394,0.0,120,2020-05-18 14:02:26
56,07190,合肥,006,006,合肥,A级-黑了好吃牛油果,2020-05-18,07190,2020-05-17,5.0,只,81,10.0,9,80.0,41,2020-05-18 14:02:26
57,14880,合肥,006,006,合肥,B级-金火龙(大),2020-05-18,14880,2020-05-17,12.8,斤,199,10.0,91,100.0,199,2020-05-18 14:02:26
58,65600,合肥,006,006,合肥,A级-红肉菠萝蜜(大),2020-05-18,65600,2020-05-17,1.0,斤,680,183.2994650225445,4,900.0,18,2020-05-18 14:02:26
59,12070,合肥,006,006,合肥,A级-千禧小番茄(中),2020-05-19,12070,2020-05-17,4.0,斤,884,26.44362505638077,365,500.0,309,2020-05-18 14:02:26
60,40470,合肥,006,006,合肥,进口活性原味乳酸菌饮品,2020-05-18,40470,2020-05-17,10.0,条,14,10.0,17,0.0,8,2020-05-18 14:02:26
61,40387,合肥,006,006,合肥,袋装椰汁5包装,2020-05-18,40387,2020-05-17,6.0,袋,111,10.0,85,40.0,115,2020-05-18 14:02:26
62,11090,合肥,006,006,合肥,A级-大樱桃(中),2020-05-18,11090,2020-05-17,9.0,斤,16,10.0,0,30.0,14,2020-05-18 14:02:26
63,06380,合肥,006,006,合肥,A级-水仙芒(中),2020-05-20,06380,2020-05-17,7.0,斤,114,37.915050051505446,87,60.0,110,2020-05-18 14:02:26
64,08330,合肥,006,006,合肥,冷冻榴莲(无核),2020-05-18,08330,2020-05-17,20.0,盒,9,10.0,71,0.0,3,2020-05-18 14:02:26
65,10120,合肥,006,006,合肥,A级-云霄枇杷,2020-05-19,10120,2020-05-17,13.0,斤,126,11.996598157266867,26,100.0,132,2020-05-18 14:02:26
