,Price,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Forecast_qty,Sku_id,Update_time,rate,Munit,min_order,Forecast_box,SS,Forecast_box_tomorrow
44,15080,15080,浙南,009,009,浙南,A级-火山口荔枝,2020-06-16,979,15080,2020-06-15,10.0,斤,1.0,98,27.61126984081359,120
45,12070,12070,浙南,009,009,浙南,A级-千禧小番茄(中),2020-06-17,452,12070,2020-06-15,6.0,斤,1.0,75,5.0,76
46,8330,08330,浙南,009,009,浙南,冷冻榴莲(无核),2020-06-16,43,08330,2020-06-15,20.0,盒,10.0,2,2.0,2
47,11330,11330,浙南,009,009,浙南,A级-新疆小白杏,2020-06-16,0,11330,2020-06-15,3.0,斤,1.0,0,0.0,0
48,6300,06300,浙南,009,009,浙南,A级-红玉香芒(中),2020-06-16,127,06300,2020-06-15,10.0,斤,1.0,13,5.0,13
49,7470,07470,浙南,009,009,浙南,A级-台湾凤梨(大),2020-06-16,408,07470,2020-06-15,20.0,斤,1.0,20,5.0,25
50,40660,40660,浙南,009,009,浙南,进口活性蓝莓味乳酸菌饮品,2020-06-16,7,40660,2020-06-15,10.0,盒,10.0,1,1.0,2
51,67206,67206,浙南,009,009,浙南,山楂吃光光,2020-06-16,15,67206,2020-06-15,16.0,盒,10.0,1,1.0,1
52,7190,07190,浙南,009,009,浙南,A级-黑了好吃牛油果,2020-06-16,48,07190,2020-06-15,10.0,只,1.0,5,5.0,5
53,4300,04300,浙南,009,009,浙南,A级-国产红蛇果(大),2020-06-16,42,04300,2020-06-15,17.0,斤,1.0,2,2.0,2
54,12130,12130,浙南,009,009,浙南,A级-原种红玉木瓜,2020-06-16,36,12130,2020-06-15,10.0,斤,1.0,4,4.0,4
55,8810,08810,浙南,009,009,浙南,B级-埃及橙(中),2020-06-16,70,08810,2020-06-15,30.0,斤,1.0,2,2.0,2
56,4500,04500,浙南,009,009,浙南,A级-阳光冰糖心苹果(大),2020-06-16,177,04500,2020-06-15,36.0,斤,1.0,5,5.0,5
57,6790,06790,浙南,009,009,浙南,A级-网纹瓜,2020-06-16,64,06790,2020-06-15,13.0,斤,1.0,5,5.0,5
58,8340,08340,浙南,009,009,浙南,精品冷冻榴莲肉(有核),2020-06-16,3,08340,2020-06-15,20.0,盒,10.0,0,0.0,0
59,11590,11590,浙南,009,009,浙南,A级-满山红富士(中),2020-06-18,722,11590,2020-06-15,24.0,斤,1.0,30,14.101851730259478,20
60,14190,14190,浙南,009,009,浙南,A级-青玉香芒(大),2020-06-16,123,14190,2020-06-15,10.0,斤,1.0,12,5.0,13
61,43410,43410,浙南,009,009,浙南,那么大西梅,2020-06-16,12,43410,2020-06-15,12.0,罐,10.0,1,1.0,1
62,7340,07340,浙南,009,009,浙南,A级-火参果,2020-06-16,4,07340,2020-06-15,8.0,个,1.0,0,0.0,0
63,16040,16040,浙南,009,009,浙南,A级-进口蕉,2020-06-16,832,16040,2020-06-15,27.0,斤,10.0,31,5.0,29
64,15000,15000,浙南,009,009,浙南,A级-妃子笑荔枝,2020-06-16,2212,15000,2020-06-15,10.0,斤,1.0,221,221.0,178
65,40300,40300,浙南,009,009,浙南,越南酸奶草莓味,2020-06-16,12,40300,2020-06-15,12.0,盒,10.0,1,1.0,1
66,40068,40068,浙南,009,009,浙南,老家奶香花生,2020-06-16,11,40068,2020-06-15,18.0,袋,,1,1.0,0
67,40148,40148,浙南,009,009,浙南,粽意,2020-06-16,16,40148,2020-06-15,10.0,小箱,10.0,2,2.0,2
68,10490,10490,浙南,009,009,浙南,A级-欢乐柠檬(个),2020-06-16,347,10490,2020-06-15,10.0,个,,35,5.0,35
69,40035,40035,浙南,009,009,浙南,香辣金针菇160g,2020-06-16,18,40035,2020-06-15,12.0,包,10.0,2,2.0,2
70,1190,01190,浙南,009,009,浙南,A级-阳光玫瑰葡萄,2020-06-16,206,01190,2020-06-15,4.0,斤,1.0,52,7.404503134354572,48
71,11050,11050,浙南,009,009,浙南,A级-国产黑布林(中),2020-06-16,90,11050,2020-06-15,14.0,斤,1.0,6,5.0,5
72,7560,07560,浙南,009,009,浙南,A级-泰国金枕榴莲,2020-06-16,453,07560,2020-06-15,31.0,斤,1.0,15,5.0,15
73,5000,05000,浙南,009,009,浙南,A级-甜心笑麒麟瓜,2020-06-16,4198,05000,2020-06-15,30.0,斤,1.0,140,5.0,139
74,65270,65270,浙南,009,009,浙南,A级-美国车厘子(中),2020-06-16,82,65270,2020-06-15,10.0,斤,1.0,8,5.0,8
75,65450,65450,浙南,009,009,浙南,A级-国产蓝莓(中),2020-06-16,349,65450,2020-06-15,12.0,盒,1.0,29,13.73656919806883,29
76,11680,11680,浙南,009,009,浙南,A级-水蜜桃(中),2020-06-16,14,11680,2020-06-15,20.0,斤,1.0,1,1.0,1
77,1070,01070,浙南,009,009,浙南,A级-夏黑葡萄,2020-06-16,237,01070,2020-06-15,7.6,斤,1.0,31,5.9985183355743965,31
78,44203,44203,浙南,009,009,浙南,日式梅饼168g,2020-06-16,0,44203,2020-06-15,12.0,罐,10.0,0,0.0,0
79,7570,07570,浙南,009,009,浙南,菲诺椰子冻,2020-06-16,12,07570,2020-06-15,6.0,只,10.0,2,2.0,3
80,7300,07300,浙南,009,009,浙南,A级-蜜宝火龙果(中),2020-06-16,60,07300,2020-06-15,9.0,斤,1.0,7,5.0,7
81,40470,40470,浙南,009,009,浙南,进口活性原味乳酸菌饮品,2020-06-16,13,40470,2020-06-15,10.0,条,10.0,1,1.0,1
82,43490,43490,浙南,009,009,浙南,芙蓉李条,2020-06-16,12,43490,2020-06-15,12.0,罐,10.0,1,1.0,1
83,65470,65470,浙南,009,009,浙南,A级-进口伽俐果(小),2020-06-16,34,65470,2020-06-15,18.0,斤,1.0,2,2.0,2
84,6540,06540,浙南,009,009,浙南,A级-美国橙(中),2020-06-16,98,06540,2020-06-15,20.0,斤,1.0,5,5.0,5
85,40084,40084,浙南,009,009,浙南,新椰汁,2020-06-16,30,40084,2020-06-15,12.0,瓶,10.0,2,2.0,3
86,13060,13060,浙南,009,009,浙南,A级-库尔勒香梨,2020-06-16,70,13060,2020-06-15,10.5,斤,1.0,7,5.0,7
87,12630,12630,浙南,009,009,浙南,A级-人参果,2020-06-16,38,12630,2020-06-15,13.0,斤,1.0,3,3.0,3
88,6850,06850,浙南,009,009,浙南,A级-百香果(盒),2020-06-16,60,06850,2020-06-15,12.0,盒,1.0,5,5.0,5
89,4170,04170,浙南,009,009,浙南,经典-树顶红富士(大),2020-06-16,154,04170,2020-06-15,20.0,斤,1.0,8,5.0,7
90,30220,30220,浙南,009,009,浙南,A级-佳沛特大金果王,2020-06-16,60,30220,2020-06-15,41.0,只,,1,1.0,1
91,6630,06630,浙南,009,009,浙南,A级-台湾红心芭乐,2020-06-16,5,06630,2020-06-15,10.0,斤,,0,0.0,1
92,14880,14880,浙南,009,009,浙南,B级-金火龙(大),2020-06-16,137,14880,2020-06-15,29.0,斤,1.0,5,5.0,5
93,14890,14890,浙南,009,009,浙南,经典-猫山王榴莲D197,2020-06-16,8,14890,2020-06-15,20.0,斤,10.0,0,0.0,0
94,12590,12590,浙南,009,009,浙南,A级-黄金百香果,2020-06-16,2,12590,2020-06-15,6.0,斤,,0,0.0,0
95,13410,13410,浙南,009,009,浙南,A级-羊角蜜,2020-06-16,23,13410,2020-06-15,12.0,斤,1.0,2,2.0,2
