,scode,sname,goods_code,goods_name,inventory,inventory_left
102,001,杭州配送中心,40108,草莓芝芝夹心雪糕,26,19
103,001,杭州配送中心,40109,椰子可可夹心雪糕,151,148
104,001,杭州配送中心,40113,橙子芝芝夹心雪糕,159,157
105,001,杭州配送中心,08330,冷冻榴莲（无核）,66,50
106,001,杭州配送中心,08340,精品冷冻榴莲肉（有核）,50,48
107,001,杭州配送中心,07570,菲诺纯椰子冻,157,121
108,001,杭州配送中心,40137,认养一头牛常温酸奶,153,-62
109,001,杭州配送中心,40069,小京生山核桃味花生,160,159
110,001,杭州配送中心,40068,老家奶香花生,241,241
111,001,杭州配送中心,40147,夹心吐司面包,490,454
112,001,杭州配送中心,40670,越南酸奶芦荟味,1464,1454
113,001,杭州配送中心,40680,越南酸奶百香果味,1361,1352
114,001,杭州配送中心,40300,越南酸奶草莓味,1008,996
115,001,杭州配送中心,40470,进口活性原味乳酸菌饮品,360,349
116,001,杭州配送中心,40480,进口活性草莓味乳酸菌饮品,334,315
117,001,杭州配送中心,40660,进口活性蓝莓味乳酸菌饮品,206,196
118,001,杭州配送中心,40148,粽意,1357,1332
119,001,杭州配送中心,40039,黄桃汁,346,327
120,001,杭州配送中心,40042,奇异果苹果复合果汁饮品,314,299
121,001,杭州配送中心,40043,橙汁,369,349
122,001,杭州配送中心,40114,油真多海鸭蛋4粒装,1307,1302
123,001,杭州配送中心,40115,油真多海鸭蛋礼盒装,2203,2173
124,001,杭州配送中心,07770,C级-金火龙(大),842,662
125,001,杭州配送中心,13749,A级-大红桃(小),49,49
126,001,杭州配送中心,15130,A级-佳沛阳光金果(大),152,152
127,001,杭州配送中心,40153,小米蛋糕,2199,2166
128,001,杭州配送中心,65350,红玉香芒礼盒,204,141
129,001,杭州配送中心,11150,好吃青脆李,15,15
