,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Sku_id,Update_time,rate,Munit,Forecast_box,SS,Inventory,Suggestion_qty,Sales_box,Date_timestamp
0,40480,浙南,009,009,浙南,进口活性草莓味乳酸菌饮品,2020-06-16,40480,2020-06-15,10.0,条,18,2.0,105,0,18,2020-06-15 16:58:38
1,11120,浙南,009,009,浙南,A级-冰糖冬枣(大),2020-06-16,11120,2020-06-15,3.8,斤,54,6.884443009826979,0,61,56,2020-06-15 16:58:38
2,02030,浙南,009,009,浙南,A级-美女油桃(中),2020-06-16,02030,2020-06-15,10.0,斤,232,5.0,183,54,231,2020-06-15 16:58:38
3,40115,浙南,009,009,浙南,油真多海鸭蛋礼盒装,2020-06-16,40115,2020-06-15,10.0,盒,61,2.0,1482,0,61,2020-06-15 16:58:38
4,12050,浙南,009,009,浙南,A级-小黄瓜,2020-06-18,12050,2020-06-15,5.0,斤,439,5.0,452,0,439,2020-06-15 16:58:38
6,15040,浙南,009,009,浙南,A级-桂味荔枝,2020-06-16,15040,2020-06-15,7.0,斤,800,5.0,0,800,800,2020-06-15 16:58:38
7,11140,浙南,009,009,浙南,B级-漫山红冬枣(中),2020-06-16,11140,2020-06-15,3.8,斤,117,5.0,161,0,117,2020-06-15 16:58:38
8,13000,浙南,009,009,浙南,A级-皇冠蜜梨(中),2020-06-16,13000,2020-06-15,25.0,斤,140,5.0,455,0,140,2020-06-15 16:58:38
9,14800,浙南,009,009,浙南,B级-红西柚(小),2020-06-16,14800,2020-06-15,12.0,只,28,1.0,35,0,32,2020-06-15 16:58:38
10,40670,浙南,009,009,浙南,越南酸奶芦荟味,2020-06-16,40670,2020-06-15,12.0,盒,17,5.0,733,0,16,2020-06-15 16:58:38
11,10600,浙南,009,009,浙南,经典-嘴甜蜜瓜,2020-06-16,10600,2020-06-15,11.0,小箱,408,5.0,746,0,408,2020-06-15 16:58:38
12,40036,浙南,009,009,浙南,香辣海带结192g,2020-06-16,40036,2020-06-15,12.0,包,10,1.0,642,0,10,2020-06-15 16:58:38
13,07290,浙南,009,009,浙南,A级-银火龙,2020-06-16,07290,2020-06-15,10.0,斤,117,5.0,37,85,117,2020-06-15 16:58:38
14,01230,浙南,009,009,浙南,A级-巨峰葡萄,2020-06-16,01230,2020-06-15,25.0,斤,173,5.438954147832304,319,0,174,2020-06-15 16:58:38
15,13737,浙南,009,009,浙南,A级-大红桃(中),2020-06-16,13737,2020-06-15,30.0,斤,487,5.0,0,490,487,2020-06-15 16:58:38
16,07270,浙南,009,009,浙南,A级-台湾莲雾(中),2020-06-16,07270,2020-06-15,12.0,斤,53,1.0,47,7,53,2020-06-15 16:58:38
17,40387,浙南,009,009,浙南,袋装椰汁5包装,2020-06-16,40387,2020-06-15,6.0,袋,29,4.0,16,17,29,2020-06-15 16:58:38
18,05170,浙南,009,009,浙南,B级-东方蜜甜瓜,2020-06-16,05170,2020-06-15,10.0,斤,156,4.0,9,150,155,2020-06-15 16:58:38
19,65600,浙南,009,009,浙南,A级-红肉菠萝蜜(大),2020-06-16,65600,2020-06-15,1.0,斤,34,7.689531122824648,41,1,17,2020-06-15 16:58:38
20,40114,浙南,009,009,浙南,油真多海鸭蛋4粒装,2020-06-16,40114,2020-06-15,18.0,盒,19,2.0,1950,0,19,2020-06-15 16:58:38
21,43170,浙南,009,009,浙南,每日坚果,2020-06-16,43170,2020-06-15,30.0,包,3,1.0,264,0,3,2020-06-15 16:58:38
22,16010,浙南,009,009,浙南,A级-春蕉,2020-06-16,16010,2020-06-15,18.0,斤,1679,7.283466817998754,113,1600,1672,2020-06-15 16:58:38
23,13050,浙南,009,009,浙南,A级-落地碎香梨,2020-06-16,13050,2020-06-15,10.5,斤,87,5.0,13,79,87,2020-06-15 16:58:38
25,02270,浙南,009,009,浙南,A级-黄金油桃(中),2020-06-16,02270,2020-06-15,7.0,斤,102,3.0,253,0,102,2020-06-15 16:58:38
26,40069,浙南,009,009,浙南,小京生山核桃味花生,2020-06-16,40069,2020-06-15,20.0,袋,4,1.0,183,0,4,2020-06-15 16:58:38
27,67250,浙南,009,009,浙南,A级-泰国白蜜柚,2020-06-16,67250,2020-06-15,18.0,斤,106,1.0,111,0,106,2020-06-15 16:58:38
28,15140,浙南,009,009,浙南,A级-佳沛阳光金果36(大),2020-06-16,15140,2020-06-15,58.0,个,61,23.6553024358881,467,0,36,2020-06-15 16:58:38
29,06120,浙南,009,009,浙南,A级-火箭筒苹果,2020-06-16,06120,2020-06-15,5.0,条,15,1.0,17,0,15,2020-06-15 16:58:38
30,06130,浙南,009,009,浙南,A级-澳洲无籽红提,2020-06-16,06130,2020-06-15,18.0,斤,247,5.0,189,63,246,2020-06-15 16:58:38
31,05590,浙南,009,009,浙南,A级-佳沛绿果,2020-06-16,05590,2020-06-15,92.0,只,32,3.0,960,0,32,2020-06-15 16:58:38
32,06000,浙南,009,009,浙南,A级-进口红玫瑰苹果(中),2020-06-16,06000,2020-06-15,9.0,斤,20,5.0,30,0,20,2020-06-15 16:58:38
33,43155,浙南,009,009,浙南,那么大杨梅218g,2020-06-16,43155,2020-06-15,12.0,罐,2,0.0,235,0,2,2020-06-15 16:58:38
34,07970,浙南,009,009,浙南,A级-红树莓,2020-06-16,07970,2020-06-15,12.0,盒,1,0.0,5,0,1,2020-06-15 16:58:38
